uid,name,score,country,timestamp
0009c763-1256-415c-abed-1d113e8623c4,Patricia Washington,689,IT,2023-12-25 18:29:20+00:00
000d3db7-08df-43cc-bef5-370fb1f90234,Brittany Welch,432,LT,2024-01-03 07:52:50+00:00
00104b32-86e3-4ba4-973e-75f248cb439e,Ronald Taylor,216,SI,2023-12-30 19:12:43+00:00
001d739b-8148-4dc1-b59f-ee5171e4380c,Alicia Murray,893,FJ,2023-12-30 16:10:04+00:00
002c4847-7cf0-4436-a3b0-b5ccbbde9ba5,Joshua Collier,548,CR,2024-01-09 01:39:48+00:00
002c82c6-3ad5-4b4d-98a3-fc114d62f72e,Daniel Moyer,427,WS,2024-01-03 09:44:18+00:00
002f117a-fcb9-469c-9975-51c8d8828194,Tony Lyons,476,CY,2024-01-04 23:46:32+00:00
002ff45f-f6dd-43e9-86ab-b64ca3ef0fd7,Sheila Brewer,856,HU,2024-01-17 05:38:05+00:00
00341dd8-9145-4115-8a7e-b89e03c12c12,Jeffrey Barber,928,BY,2024-01-08 13:43:33+00:00
003e30c1-450b-4d28-b8e3-784c6739f0ad,Kelly Phillips,236,GN,2023-12-31 18:41:02+00:00
004499b4-db47-4a2b-b5ff-50c8e2a360d9,Jason Ochoa,90,BB,2024-01-09 12:23:18+00:00
004b84aa-cb3c-4d37-a7fb-adbb27778363,Heather Kennedy,425,PT,2024-01-02 21:56:35+00:00
0051a0ff-8585-4812-b8fe-43b518822582,Carla Morris,794,GH,2024-01-15 12:16:43+00:00
005cd31c-d5fe-4a00-a95b-41af6b72a950,Mary Garcia,874,MD,2024-01-14 09:49:10+00:00
005ff6cf-e1b7-4e75-8dd8-8fee81e90092,Jessica Fleming,752,IL,2024-01-05 23:25:15+00:00
006b409a-224c-4084-ba99-b8faaf16464a,Anthony Brown,730,CD,2023-12-26 09:44:54+00:00
006f7e5d-2aaa-4077-9a1c-1ffd65120a67,George Carney,439,GW,2023-12-26 09:22:35+00:00
00700009-c270-485d-8a94-9c64f91dcfc0,James Solis,333,LU,2024-01-10 21:53:23+00:00
00710023-a8c5-4f16-9576-143021d0d70e,Krista Cardenas,912,TN,2024-01-13 16:38:55+00:00
007448bc-adc9-4ac8-9687-b375361a004f,Ralph Ryan,774,UA,2024-01-23 18:11:58+00:00
007c0407-521d-4df0-9869-8b20fbb5105d,Mark Quinn,870,MD,2024-01-03 01:42:07+00:00
0087d0db-66d6-4361-862a-276256445c4a,Eric Simpson,356,KN,2023-12-26 12:38:21+00:00
00897efc-3502-47e9-826c-597fce7bfe15,Michael Gray,807,TZ,2024-01-08 18:48:39+00:00
0091fb88-55d8-48d7-8473-3dab4789da73,Frank Clements,702,IR,2023-12-26 03:46:47+00:00
009f9bdc-a1fa-46cc-af95-e3cc0f6a99db,John Huynh,390,TD,2024-01-01 16:17:43+00:00
00ba1372-0f1c-42d6-8ae5-6823e0a04b60,Sarah Simmons,856,GD,2024-01-15 00:58:57+00:00
00ba99fb-4ef2-4057-841b-a397360db26a,Joseph Roberts,722,FJ,2024-01-10 03:19:48+00:00
00c7a8b0-abb5-48e3-995c-28eed43f825c,Andrea Ford,68,LS,2024-01-13 23:55:36+00:00
00ce2303-c81a-42ef-928b-09f258d1e4df,James Benson,518,AM,2024-01-11 02:12:48+00:00
00d5784c-c3c4-47d2-b63c-699dced70327,Connie Brooks,170,SV,2024-01-13 23:41:02+00:00
00dbf608-b61e-4786-a990-f5fdeaf6d6b1,Ian Roy,80,SR,2024-01-20 12:48:24+00:00
00ddea71-970f-4713-a454-e15d1f4e9193,Andrew Wood,124,LS,2024-01-04 08:46:26+00:00
00e8ea5b-89b5-4127-b392-cc4883229ce9,David Hunt,960,MG,2024-01-23 22:30:14+00:00
00e92e23-c55d-4176-b34c-49afb195b940,John Serrano,788,ML,2024-01-13 17:50:30+00:00
00e98990-2da8-4005-8c64-fab6ff06da2e,Jacqueline Walter,399,SL,2024-01-01 00:48:01+00:00
00f9fe0c-62ee-4199-9e14-97df11ca8879,Randall Cruz,797,FR,2024-01-07 11:15:50+00:00
01014b19-788f-4840-896b-556798787a2f,Michelle Torres,154,TG,2024-01-09 18:18:33+00:00
010e9d70-9b22-455a-87e5-f3c5b7e8a8cc,Joseph Yang,23,HN,2024-01-14 08:15:57+00:00
011d0a02-3b57-40d4-a55d-18a7321b7e6b,Michelle Tucker,827,KE,2024-01-23 22:34:22+00:00
0120f0b1-7000-4647-99c6-102826a8777a,Sara Lewis,585,MY,2024-01-03 13:12:04+00:00
01242982-626e-4c75-9e1b-33a517bbf411,Jordan Brown,809,AM,2024-01-07 06:53:26+00:00
0127a483-b930-426e-9eaf-06e40fc0728a,Jennifer Miranda,771,EC,2024-01-02 13:28:50+00:00
012b4d3f-0961-49d3-8c51-694eda0d82a5,Troy Larson,985,SD,2024-01-03 17:36:00+00:00
013a5332-877a-423f-b052-98478a53aaf5,Cesar Foster,427,CO,2023-12-30 06:18:21+00:00
013ea812-233c-4a35-a822-bdee2001bbdc,Leslie Boyd,275,CG,2024-01-21 20:38:46+00:00
01435188-a856-41e9-833d-463dd3cf6ce6,Samantha Jones,165,AL,2023-12-31 11:59:30+00:00
0153a76f-f073-436c-b2a6-a6448dd6782f,Linda Carter,329,SD,2024-01-20 08:22:20+00:00
0154df06-d3f7-42fb-a515-ae20ee8b9400,Karen Mcdonald,713,BW,2024-01-10 08:16:15+00:00
0158e644-43f8-42e2-bf56-871e23ab1b2b,Howard Brewer,105,BO,2024-01-03 20:07:45+00:00
0159b212-c2b5-46ed-9ec0-0625d6a88a8a,Andrea Medina,821,BE,2024-01-21 11:10:33+00:00
015b3e35-f834-4a74-83a7-f0a44dda949a,Phyllis Baldwin,969,PT,2024-01-16 07:37:31+00:00
015d5db3-8e8c-435c-9474-9a101340c961,Samantha Morris MD,929,GW,2024-01-20 21:04:00+00:00
016921a2-4c35-413d-b471-fe40b38680a0,Mary Wilson,992,AZ,2024-01-04 08:54:06+00:00
016c0445-582f-49bc-b62b-c8bb909befc5,Matthew Scott,805,TM,2024-01-11 11:28:44+00:00
016ee558-9434-421d-95d8-222e0b7ba112,Erica Smith,922,MW,2024-01-05 15:59:30+00:00
01704d3c-762c-4e69-ab59-8ca9592c2560,Douglas Morales,164,VE,2024-01-19 13:56:43+00:00
0174dda7-b371-4d5a-9fbe-3dc75b8abe3a,Alison May MD,501,RW,2024-01-16 04:45:21+00:00
017daa88-c770-45a0-a6a3-052136fc5182,Brenda Carroll,18,TZ,2024-01-06 03:18:33+00:00
017fa1c4-3a9c-4561-ba82-1b0f12edaf45,Nicole Smith,507,SB,2024-01-09 07:12:29+00:00
0182dfe0-81aa-49a9-9b9f-112c2a2bccb0,Claudia Johnson,240,MZ,2023-12-26 19:11:29+00:00
0192ae8f-0076-44dc-8afb-b6ecf6ec731a,Samantha Turner,235,NI,2024-01-11 19:54:25+00:00
0194b2bc-d2f0-4d69-9e47-861a8e3672ce,Paula Foster,150,AZ,2024-01-16 11:08:46+00:00
